time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/entropy_loss,train/approx_kl,train/clip_fraction,train/loss,train/learning_rate,train/std,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/clip_range,train/n_updates
0,4307,2048,1,7.18,8.18,,,,,,,,,,,
1,2840,4096,2,9.87,10.87,-1.3978907659649848,0.018017638,0.1951171875,3.599968433380127,0.0003,0.9574082493782043,-0.02741207584331278,-0.020210981369018555,14.854872135818004,0.2,10
2,2607,6144,3,14.64,15.64,-1.3512238916009665,0.016449146,0.18291015625,10.860414505004883,0.0003,0.9129599928855896,-0.028589363489300013,0.1363898515701294,16.26421080827713,0.2,20
3,2427,8192,4,22.81,23.81,-1.31285244487226,0.018069068,0.16318359375,11.601301193237305,0.0003,0.8872299194335938,-0.028395179766812363,0.10959887504577637,33.357898253202436,0.2,30
4,2368,10240,5,32.8,33.8,-1.2884293507784605,0.010417992,0.114501953125,23.6229305267334,0.0003,0.8681962490081787,-0.021332309331046417,0.08227711915969849,48.228650665283205,0.2,40
5,2357,12288,6,43.45,44.45,-1.2665727265179156,0.00949524,0.100634765625,22.490150451660156,0.0003,0.84791499376297,-0.018173053188365883,0.10907548666000366,62.56624108552933,0.2,50
6,2339,14336,7,52.39,53.39,-1.24485542178154,0.0079374565,0.066015625,21.73720932006836,0.0003,0.8308094143867493,-0.011499292805092409,0.34271031618118286,53.43852640986442,0.2,60
7,2325,16384,8,64.7,65.7,-1.233396614715457,0.008573886,0.0796875,14.417420387268066,0.0003,0.8336942195892334,-0.00938099997729296,0.6534931659698486,42.82611083686352,0.2,70
7,2318,18432,9,73.45,74.45,-1.2341538663953542,0.00783937,0.075634765625,9.866726875305176,0.0003,0.8295382857322693,-0.009764070490200538,0.7430108785629272,39.606394892930986,0.2,80
8,2308,20480,10,83.0,84.0,-1.2269109457731247,0.0057781083,0.078515625,7.989794731140137,0.0003,0.8208690881729126,-0.007434331627155189,0.8585463762283325,28.61887746453285,0.2,90
9,2303,22528,11,94.09,95.09,-1.2233262564986944,0.009109948,0.12099609375,5.016129970550537,0.0003,0.8242639303207397,-0.012410434542107395,0.8720662593841553,28.29605303257704,0.2,100
10,2299,24576,12,107.6,108.6,-1.2229969788342714,0.011360147,0.098779296875,9.803312301635742,0.0003,0.8210944533348083,-0.010216518133529463,0.8933621048927307,27.699336716532706,0.2,110
11,2299,26624,13,122.07,123.07,-1.223226137086749,0.011035336,0.1228515625,3.4914121627807617,0.0003,0.8237692713737488,-0.01647287234372925,0.9344019889831543,19.824760492146016,0.2,120
12,2299,28672,14,136.92,137.92,-1.2256588369607926,0.008026977,0.10107421875,1.9959560632705688,0.0003,0.8247950077056885,-0.013870297046378256,0.9714732766151428,8.868413876742125,0.2,130
13,2262,30720,15,152.35,153.35,-1.222503276541829,0.0076906164,0.120458984375,2.181485652923584,0.0003,0.8212411403656006,-0.016800634514947888,0.9760826826095581,8.525680193305016,0.2,140
